data10_x, data10, data20_x, data20, data30_x, data30, data40_x, data40, data50_x, data50, data60_x, data60, data70_x, data70, data80_x, data80, data90_x, data90, data100_x, data100
10,34.9,20,87.3,30,37.9,40,41.9,50,94.2,60,126.0,70,108.8,80,466.8,90,78.5,100,170.9
10,120.4,20,82.3,30,127.2,40,96.5,50,91.8,60,124.4,70,104.0,80,464.9,90,77.0,100,167.5
10,122.6,20,83.0,30,127.7,40,97.1,50,92.0,60,124.4,70,104.1,80,464.1,90,77.6,100,168.6
10,122.0,20,82.1,30,127.3,40,96.6,50,91.4,60,123.9,70,103.4,80,463.4,90,77.1,100,168.0
10,121.6,20,104.2,30,127.0,40,96.2,50,91.0,60,123.6,70,103.1,80,463.0,90,76.4,100,167.6
10,121.7,20,103.8,30,127.1,40,95.8,50,90.6,60,123.0,70,102.2,80,462.4,90,14.8,100,167.3
10,121.0,20,103.6,30,126.8,40,95.3,50,86.5,60,110.1,70,101.8,80,462.1,90,14.6,100,166.4
10,120.9,20,103.3,30,126.6,40,95.0,50,85.3,60,305.6,70,422.8,80,462.1,90,40.8,100,166.0
10,120.7,20,102.8,30,126.5,40,94.6,50,84.9,60,305.4,70,423.0,80,462.1,90,40.6,100,165.8
10,120.5,20,102.4,30,126.2,40,69.1,50,84.6,60,305.3,70,422.9,80,462.0,90,40.5,100,165.8
10,6.3,20,102.2,30,126.2,40,68.6,50,84.1,60,305.1,70,422.7,80,461.4,90,40.4,100,166.1
10,42.8,20,102.1,30,126.1,40,68.4,50,83.8,60,304.9,70,422.5,80,461.2,90,40.4,100,74.0
10,43.7,20,100.8,30,126.0,40,68.2,50,83.6,60,304.7,70,421.5,80,461.2,90,39.9,100,72.9
10,43.3,20,100.7,30,126.2,40,68.0,50,83.2,60,304.2,70,421.5,80,460.8,90,39.9,100,72.4
10,42.8,20,100.7,30,126.4,40,67.9,50,82.7,60,304.2,70,421.6,80,460.8,90,323.6,100,71.8
10,42.4,20,101.0,30,125.2,40,67.7,50,82.6,60,304.3,70,421.8,80,460.2,90,323.6,100,71.5
10,26.7,20,101.5,30,125.2,40,146.1,50,82.7,60,304.3,70,421.8,80,458.9,90,323.8,100,71.6
10,26.7,20,101.1,30,5.9,40,144.7,50,193.8,60,304.3,70,422.0,80,458.9,90,323.8,100,434.8
10,26.6,20,101.0,30,14.1,40,144.5,50,193.9,60,304.3,70,422.0,80,458.7,90,323.8,100,434.8
10,26.6,20,101.1,30,14.4,40,145.9,50,193.8,60,304.2,70,422.1,80,459.2,90,323.7,100,434.8
10,8.9,20,21.4,30,43.1,40,145.5,50,193.8,60,304.1,70,422.2,80,459.1,90,323.6,100,434.8
10,6.9,20,21.4,30,42.8,40,145.4,50,193.1,60,304.1,70,421.9,80,459.4,90,323.7,100,434.8
10,36.0,20,21.3,30,42.6,40,145.8,50,193.1,60,303.8,70,422.1,80,459.3,90,323.7,100,434.7
10,35.7,20,21.3,30,42.3,40,145.7,50,193.1,60,303.7,70,419.8,80,459.3,90,324.1,100,434.7
10,35.7,20,5.5,30,42.3,40,145.5,50,192.9,60,303.7,70,419.8,80,459.0,90,324.1,100,434.5
10,35.4,20,15.2,30,40.7,40,145.4,50,192.9,60,302.5,70,419.9,80,458.9,90,322.9,100,434.5
10,35.7,20,15.2,30,40.6,40,145.1,50,191.3,60,302.5,70,419.9,80,458.5,90,322.9,100,432.8
10,24.1,20,34.7,30,12.0,40,143.9,50,190.8,60,301.9,70,420.0,80,458.1,90,322.1,100,432.3
10,24.0,20,34.6,30,30.9,40,143.7,50,191.2,60,301.8,70,420.0,80,458.6,90,322.1,100,432.2
10,24.1,20,34.6,30,31.2,40,143.6,50,191.2,60,301.6,70,419.8,80,458.6,90,322.1,100,432.1
10,24.1,20,34.5,30,31.2,40,143.4,50,191.1,60,301.8,70,420.6,80,458.4,90,322.1,100,432.1
10,8.6,20,34.4,30,31.2,40,143.3,50,190.6,60,301.7,70,420.6,80,458.0,90,322.0,100,432.0
