data10, data20, data30, data40, data50, data60, data70, data80, data90, data100
34.877, 87.290, 37.923, 41.888, 94.181, 126.033, 108.794, 466.824, 78.462, 170.866
120.388, 82.275, 127.185, 96.487, 91.781, 124.434, 103.967, 464.887, 76.989, 167.461
122.568, 83.041, 127.664, 97.125, 92.031, 124.373, 104.105, 464.101, 77.563, 168.638
122.020, 82.141, 127.335, 96.617, 91.385, 123.902, 103.427, 463.448, 77.121, 167.964
121.603, 104.177, 127.024, 96.174, 90.989, 123.616, 103.077, 463.044, 76.374, 167.638
121.715, 103.806, 127.124, 95.826, 90.602, 123.042, 102.165, 462.442, 14.842, 167.262
121.033, 103.571, 126.751, 95.254, 86.491, 110.127, 101.819, 462.120, 14.599, 166.427
120.935, 103.280, 126.555, 94.982, 85.253, 305.602, 422.824, 462.113, 40.828, 166.035
120.654, 102.755, 126.519, 94.557, 84.939, 305.372, 422.976, 462.109, 40.582, 165.789
120.542, 102.436, 126.238, 69.108, 84.610, 305.261, 422.864, 462.021, 40.471, 165.787
6.262, 102.177, 126.163, 68.589, 84.065, 305.081, 422.718, 461.382, 40.415, 166.139
42.760, 102.135, 126.107, 68.421, 83.800, 304.887, 422.486, 461.209, 40.394, 74.048
43.689, 100.820, 125.979, 68.193, 83.565, 304.748, 421.545, 461.153, 39.890, 72.877
43.258, 100.726, 126.164, 68.022, 83.197, 304.167, 421.511, 460.792, 39.892, 72.448
42.809, 100.675, 126.437, 67.914, 82.687, 304.212, 421.626, 460.797, 323.560, 71.758
42.407, 100.976, 125.244, 67.711, 82.578, 304.253, 421.760, 460.195, 323.582, 71.463
26.663, 101.498, 125.213, 146.098, 82.698, 304.274, 421.824, 458.937, 323.791, 71.587
26.680, 101.107, 5.911, 144.669, 193.849, 304.252, 421.969, 458.916, 323.787, 434.767
26.640, 101.024, 14.072, 144.524, 193.890, 304.296, 422.011, 458.695, 323.800, 434.833
26.606, 101.136, 14.431, 145.871, 193.839, 304.169, 422.120, 459.151, 323.715, 434.839
8.887, 21.412, 43.135, 145.536, 193.784, 304.129, 422.162, 459.065, 323.649, 434.776
6.857, 21.384, 42.764, 145.406, 193.081, 304.104, 421.939, 459.354, 323.664, 434.774
36.047, 21.347, 42.643, 145.809, 193.056, 303.793, 422.064, 459.330, 323.656, 434.733
35.749, 21.322, 42.340, 145.672, 193.051, 303.710, 419.816, 459.334, 324.101, 434.708
35.713, 5.455, 42.317, 145.525, 192.908, 303.674, 419.756, 458.964, 324.093, 434.475
35.350, 15.209, 40.729, 145.427, 192.915, 302.520, 419.873, 458.888, 322.947, 434.453
35.688, 15.159, 40.595, 145.068, 191.325, 302.456, 419.945, 458.542, 322.876, 432.788
24.076, 34.684, 12.029, 143.862, 190.817, 301.874, 420.020, 458.119, 322.149, 432.262
24.012, 34.587, 30.929, 143.684, 191.195, 301.808, 419.965, 458.561, 322.097, 432.198
24.096, 34.561, 31.183, 143.585, 191.191, 301.600, 419.765, 458.595, 322.067, 432.118
24.067, 34.479, 31.214, 143.435, 191.135, 301.769, 420.555, 458.418, 322.051, 432.137
8.578, 34.439, 31.236, 143.253, 190.622, 301.698, 420.572, 457.975, 321.985, 432.010
8.845, 47.087, 30.168, 141.257, 189.565, 300.694, 419.280, 456.784, 320.809, 431.037
39.112, 43.779, 61.963, 140.842, 189.328, 300.528, 418.973, 456.645, 320.652, 431.501
39.103, 43.704, 61.981, 140.798, 189.280, 301.675, 418.993, 456.580, 320.625, 430.865
38.962, 43.386, 62.008, 140.633, 189.209, 301.797, 418.987, 456.642, 320.590, 430.773
40.146, 43.327, 62.043, 140.378, 189.206, 301.749, 418.969, 456.600, 321.072, 430.738
40.062, 43.040, 62.030, 140.213, 189.168, 301.549, 418.953, 456.612, 320.976, 430.706
39.487, 43.019, 60.998, 140.101, 189.148, 301.504, 418.936, 456.578, 320.965, 430.656
15.219, 18.320, 60.992, 140.153, 189.113, 301.258, 418.888, 456.500, 320.736, 429.440
16.226, 19.008, 62.009, 89.877, 189.795, 301.913, 419.636, 457.094, 321.381, 429.716
6.130, 17.986, 61.906, 90.268, 189.790, 301.899, 419.498, 457.070, 320.462, 429.705
7.791, 18.443, 61.913, 90.245, 189.778, 301.885, 419.451, 456.917, 320.428, 430.026
7.266, 17.228, 60.859, 89.391, 189.002, 301.159, 418.466, 456.458, 319.393, 429.264
6.892, 5.533, 22.420, 89.367, 188.978, 301.140, 418.445, 453.431, 318.394, 428.778
24.178, 7.804, 22.354, 89.737, 188.586, 301.102, 418.447, 453.379, 318.335, 427.874
24.682, 7.204, 22.321, 89.737, 188.571, 301.077, 417.697, 453.344, 318.635, 427.856
24.667, 33.766, 22.288, 89.698, 188.591, 301.051, 417.654, 453.044, 318.337, 427.840
24.600, 33.324, 33.181, 89.411, 188.591, 301.020, 417.618, 452.995, 317.995, 428.005
18.112, 33.438, 33.274, 89.388, 188.110, 300.958, 417.562, 451.911, 317.271, 428.021
18.218, 33.428, 33.269, 89.382, 105.027, 299.352, 415.451, 453.008, 317.223, 427.777
18.214, 33.229, 33.259, 89.388, 103.935, 299.316, 414.663, 452.955, 317.208, 427.782
5.911, 49.907, 32.121, 90.131, 103.767, 299.247, 413.682, 452.036, 317.253, 427.741
7.680, 49.913, 32.845, 90.150, 103.661, 299.234, 414.019, 451.984, 317.251, 427.714
10.827, 49.885, 31.354, 90.205, 103.630, 299.208, 414.003, 450.812, 317.065, 427.431
8.282, 49.861, 32.065, 90.226, 103.545, 299.184, 413.633, 450.441, 317.037, 427.187
30.473, 49.420, 29.990, 8.782, 103.878, 299.153, 412.675, 450.307, 317.024, 427.165
